account,type,score,submittedAt
Inkspired,nps,10,2026-07-12
Inkspired,nps,3,2026-07-12
SOA,csat,2,2026-02-12
SOA,csat,3,2026-02-12
SOA,csat,1,2026-02-12
SOA,csat,1,2026-02-12
SOA,csat,3,2026-02-12
SOA,csat,2,2026-02-12
SOA,csat,4,2026-02-12
SOA,csat,1,2026-03-12
SOA,csat,2,2026-03-12
SOA,csat,3,2026-03-12
SOA,csat,1,2026-03-12
SOA,csat,1,2026-03-12
SOA,csat,3,2026-03-12
SOA,csat,4,2026-04-12
SOA,csat,1,2026-04-12
SOA,csat,2,2026-04-12
SOA,csat,3,2026-04-12
SOA,csat,1,2026-04-12
SOA,csat,1,2026-04-12
SOA,csat,3,2026-04-12
SOA,csat,2,2026-04-12
SOA,csat,4,2026-04-12
SOA,csat,2,2026-05-12
SOA,csat,4,2026-05-12
SOA,csat,1,2026-05-12
SOA,csat,2,2026-05-12
SOA,csat,3,2026-05-12
SOA,csat,1,2026-05-12
SOA,csat,1,2026-05-12
SOA,csat,3,2026-05-12
SOA,csat,3,2026-06-12
SOA,csat,2,2026-06-12
SOA,csat,4,2026-06-12
SOA,csat,1,2026-06-12
SOA,csat,2,2026-06-12
SOA,csat,3,2026-06-12
SOA,csat,1,2026-06-12
SOA,csat,1,2026-07-12
SOA,csat,3,2026-07-12
SOA,csat,2,2026-07-12
SOA,csat,4,2026-07-12
SOA,csat,1,2026-07-12
SOA,csat,2,2026-07-12
SOA,nps,2,2026-04-12
SOA,nps,5,2026-04-12
SOA,nps,4,2026-04-12
SOA,nps,0,2026-04-12
SOA,nps,3,2026-04-12
SOA,nps,6,2026-07-12
SOA,nps,2,2026-07-12
SOA,nps,5,2026-07-12
SOA,nps,4,2026-07-12
SOA,nps,0,2026-07-12
The Croffle Guys,csat,5,2026-02-12
The Croffle Guys,csat,4,2026-02-12
The Croffle Guys,csat,5,2026-02-12
The Croffle Guys,csat,4,2026-02-12
The Croffle Guys,csat,5,2026-02-12
The Croffle Guys,csat,4,2026-02-12
The Croffle Guys,csat,5,2026-02-12
The Croffle Guys,csat,3,2026-02-12
The Croffle Guys,csat,3,2026-03-12
The Croffle Guys,csat,5,2026-03-12
The Croffle Guys,csat,4,2026-03-12
The Croffle Guys,csat,5,2026-03-12
The Croffle Guys,csat,4,2026-03-12
The Croffle Guys,csat,5,2026-03-12
The Croffle Guys,csat,4,2026-03-12
The Croffle Guys,csat,5,2026-04-12
The Croffle Guys,csat,3,2026-04-12
The Croffle Guys,csat,5,2026-04-12
The Croffle Guys,csat,4,2026-04-12
The Croffle Guys,csat,5,2026-04-12
The Croffle Guys,csat,4,2026-04-12
The Croffle Guys,csat,4,2026-05-12
The Croffle Guys,csat,5,2026-05-12
The Croffle Guys,csat,3,2026-05-12
The Croffle Guys,csat,5,2026-05-12
The Croffle Guys,csat,4,2026-05-12
The Croffle Guys,csat,5,2026-05-12
The Croffle Guys,csat,4,2026-05-12
The Croffle Guys,csat,5,2026-05-12
The Croffle Guys,csat,4,2026-05-12
The Croffle Guys,csat,5,2026-06-12
The Croffle Guys,csat,4,2026-06-12
The Croffle Guys,csat,5,2026-06-12
The Croffle Guys,csat,3,2026-06-12
The Croffle Guys,csat,5,2026-06-12
The Croffle Guys,csat,4,2026-06-12
The Croffle Guys,csat,5,2026-06-12
The Croffle Guys,csat,4,2026-06-12
The Croffle Guys,csat,4,2026-07-12
The Croffle Guys,csat,5,2026-07-12
The Croffle Guys,csat,4,2026-07-12
The Croffle Guys,csat,5,2026-07-12
The Croffle Guys,csat,3,2026-07-12
The Croffle Guys,csat,5,2026-07-12
The Croffle Guys,csat,4,2026-07-12
The Croffle Guys,nps,9,2026-04-12
The Croffle Guys,nps,7,2026-04-12
The Croffle Guys,nps,10,2026-04-12
The Croffle Guys,nps,9,2026-04-12
The Croffle Guys,nps,8,2026-04-12
The Croffle Guys,nps,10,2026-07-12
The Croffle Guys,nps,9,2026-07-12
The Croffle Guys,nps,7,2026-07-12
The Croffle Guys,nps,10,2026-07-12
The Croffle Guys,nps,9,2026-07-12
Anemos,csat,5,2026-02-12
Anemos,csat,3,2026-02-12
Anemos,csat,4,2026-02-12
Anemos,csat,2,2026-02-12
Anemos,csat,5,2026-02-12
Anemos,csat,3,2026-02-12
Anemos,csat,1,2026-02-12
Anemos,csat,4,2026-02-12
Anemos,csat,5,2026-02-12
Anemos,csat,4,2026-03-12
Anemos,csat,5,2026-03-12
Anemos,csat,3,2026-03-12
Anemos,csat,4,2026-03-12
Anemos,csat,2,2026-03-12
Anemos,csat,5,2026-03-12
Anemos,csat,3,2026-03-12
Anemos,csat,1,2026-03-12
Anemos,csat,1,2026-04-12
Anemos,csat,4,2026-04-12
Anemos,csat,5,2026-04-12
Anemos,csat,3,2026-04-12
Anemos,csat,4,2026-04-12
Anemos,csat,2,2026-04-12
Anemos,csat,5,2026-04-12
Anemos,csat,3,2026-05-12
Anemos,csat,1,2026-05-12
Anemos,csat,4,2026-05-12
Anemos,csat,5,2026-05-12
Anemos,csat,3,2026-05-12
Anemos,csat,4,2026-05-12
Anemos,csat,5,2026-06-12
Anemos,csat,3,2026-06-12
Anemos,csat,1,2026-06-12
Anemos,csat,4,2026-06-12
Anemos,csat,5,2026-06-12
Anemos,csat,3,2026-06-12
Anemos,csat,4,2026-06-12
Anemos,csat,2,2026-06-12
Anemos,csat,5,2026-06-12
Anemos,csat,2,2026-07-12
Anemos,csat,5,2026-07-12
Anemos,csat,3,2026-07-12
Anemos,csat,1,2026-07-12
Anemos,csat,4,2026-07-12
Anemos,csat,5,2026-07-12
Anemos,csat,3,2026-07-12
Anemos,csat,4,2026-07-12
Anemos,nps,3,2026-04-12
Anemos,nps,9,2026-04-12
Anemos,nps,7,2026-04-12
Anemos,nps,6,2026-04-12
Anemos,nps,8,2026-04-12
Anemos,nps,10,2026-07-12
Anemos,nps,3,2026-07-12
Anemos,nps,9,2026-07-12
Anemos,nps,7,2026-07-12
Anemos,nps,6,2026-07-12
WhiteOak,csat,5,2026-02-12
WhiteOak,csat,4,2026-02-12
WhiteOak,csat,5,2026-02-12
WhiteOak,csat,4,2026-02-12
WhiteOak,csat,5,2026-02-12
WhiteOak,csat,3,2026-02-12
WhiteOak,csat,4,2026-03-12
WhiteOak,csat,5,2026-03-12
WhiteOak,csat,4,2026-03-12
WhiteOak,csat,5,2026-03-12
WhiteOak,csat,4,2026-03-12
WhiteOak,csat,5,2026-03-12
WhiteOak,csat,3,2026-03-12
WhiteOak,csat,5,2026-03-12
WhiteOak,csat,4,2026-03-12
WhiteOak,csat,5,2026-04-12
WhiteOak,csat,4,2026-04-12
WhiteOak,csat,5,2026-04-12
WhiteOak,csat,4,2026-04-12
WhiteOak,csat,5,2026-04-12
WhiteOak,csat,4,2026-04-12
WhiteOak,csat,5,2026-04-12
WhiteOak,csat,3,2026-04-12
WhiteOak,csat,3,2026-05-12
WhiteOak,csat,5,2026-05-12
WhiteOak,csat,4,2026-05-12
WhiteOak,csat,5,2026-05-12
WhiteOak,csat,4,2026-05-12
WhiteOak,csat,5,2026-05-12
WhiteOak,csat,4,2026-05-12
WhiteOak,csat,5,2026-06-12
WhiteOak,csat,3,2026-06-12
WhiteOak,csat,5,2026-06-12
WhiteOak,csat,4,2026-06-12
WhiteOak,csat,5,2026-06-12
WhiteOak,csat,4,2026-06-12
WhiteOak,csat,4,2026-07-12
WhiteOak,csat,5,2026-07-12
WhiteOak,csat,3,2026-07-12
WhiteOak,csat,5,2026-07-12
WhiteOak,csat,4,2026-07-12
WhiteOak,csat,5,2026-07-12
WhiteOak,csat,4,2026-07-12
WhiteOak,csat,5,2026-07-12
WhiteOak,csat,4,2026-07-12
WhiteOak,nps,10,2026-04-12
WhiteOak,nps,9,2026-04-12
WhiteOak,nps,8,2026-04-12
WhiteOak,nps,10,2026-04-12
WhiteOak,nps,9,2026-04-12
WhiteOak,nps,7,2026-07-12
WhiteOak,nps,10,2026-07-12
WhiteOak,nps,9,2026-07-12
WhiteOak,nps,8,2026-07-12
WhiteOak,nps,10,2026-07-12
BuildWell,csat,3,2026-02-12
BuildWell,csat,2,2026-02-12
BuildWell,csat,4,2026-02-12
BuildWell,csat,1,2026-02-12
BuildWell,csat,2,2026-02-12
BuildWell,csat,3,2026-02-12
BuildWell,csat,1,2026-02-12
BuildWell,csat,1,2026-03-12
BuildWell,csat,3,2026-03-12
BuildWell,csat,2,2026-03-12
BuildWell,csat,4,2026-03-12
BuildWell,csat,1,2026-03-12
BuildWell,csat,2,2026-03-12
BuildWell,csat,1,2026-04-12
BuildWell,csat,1,2026-04-12
BuildWell,csat,3,2026-04-12
BuildWell,csat,2,2026-04-12
BuildWell,csat,4,2026-04-12
BuildWell,csat,1,2026-04-12
BuildWell,csat,2,2026-04-12
BuildWell,csat,3,2026-04-12
BuildWell,csat,1,2026-04-12
BuildWell,csat,3,2026-05-12
BuildWell,csat,1,2026-05-12
BuildWell,csat,1,2026-05-12
BuildWell,csat,3,2026-05-12
BuildWell,csat,2,2026-05-12
BuildWell,csat,4,2026-05-12
BuildWell,csat,1,2026-05-12
BuildWell,csat,2,2026-05-12
BuildWell,csat,2,2026-06-12
BuildWell,csat,3,2026-06-12
BuildWell,csat,1,2026-06-12
BuildWell,csat,1,2026-06-12
BuildWell,csat,3,2026-06-12
BuildWell,csat,2,2026-06-12
BuildWell,csat,4,2026-06-12
BuildWell,csat,1,2026-07-12
BuildWell,csat,2,2026-07-12
BuildWell,csat,3,2026-07-12
BuildWell,csat,1,2026-07-12
BuildWell,csat,1,2026-07-12
BuildWell,csat,3,2026-07-12
BuildWell,nps,3,2026-04-12
BuildWell,nps,6,2026-04-12
BuildWell,nps,2,2026-04-12
BuildWell,nps,5,2026-04-12
BuildWell,nps,4,2026-04-12
BuildWell,nps,0,2026-07-12
BuildWell,nps,3,2026-07-12
BuildWell,nps,6,2026-07-12
BuildWell,nps,2,2026-07-12
BuildWell,nps,5,2026-07-12
Aurora Foods,csat,3,2026-02-12
Aurora Foods,csat,5,2026-02-12
Aurora Foods,csat,4,2026-02-12
Aurora Foods,csat,5,2026-02-12
Aurora Foods,csat,4,2026-02-12
Aurora Foods,csat,5,2026-02-12
Aurora Foods,csat,4,2026-02-12
Aurora Foods,csat,5,2026-03-12
Aurora Foods,csat,3,2026-03-12
Aurora Foods,csat,5,2026-03-12
Aurora Foods,csat,4,2026-03-12
Aurora Foods,csat,5,2026-03-12
Aurora Foods,csat,4,2026-03-12
Aurora Foods,csat,4,2026-04-12
Aurora Foods,csat,5,2026-04-12
Aurora Foods,csat,3,2026-04-12
Aurora Foods,csat,5,2026-04-12
Aurora Foods,csat,4,2026-04-12
Aurora Foods,csat,5,2026-04-12
Aurora Foods,csat,4,2026-04-12
Aurora Foods,csat,5,2026-04-12
Aurora Foods,csat,4,2026-04-12
Aurora Foods,csat,5,2026-05-12
Aurora Foods,csat,4,2026-05-12
Aurora Foods,csat,5,2026-05-12
Aurora Foods,csat,3,2026-05-12
Aurora Foods,csat,5,2026-05-12
Aurora Foods,csat,4,2026-05-12
Aurora Foods,csat,5,2026-05-12
Aurora Foods,csat,4,2026-05-12
Aurora Foods,csat,4,2026-06-12
Aurora Foods,csat,5,2026-06-12
Aurora Foods,csat,4,2026-06-12
Aurora Foods,csat,5,2026-06-12
Aurora Foods,csat,3,2026-06-12
Aurora Foods,csat,5,2026-06-12
Aurora Foods,csat,4,2026-06-12
Aurora Foods,csat,5,2026-07-12
Aurora Foods,csat,4,2026-07-12
Aurora Foods,csat,5,2026-07-12
Aurora Foods,csat,4,2026-07-12
Aurora Foods,csat,5,2026-07-12
Aurora Foods,csat,3,2026-07-12
Aurora Foods,nps,9,2026-04-12
Aurora Foods,nps,8,2026-04-12
Aurora Foods,nps,10,2026-04-12
Aurora Foods,nps,9,2026-04-12
Aurora Foods,nps,7,2026-04-12
Aurora Foods,nps,10,2026-07-12
Aurora Foods,nps,9,2026-07-12
Aurora Foods,nps,8,2026-07-12
Aurora Foods,nps,10,2026-07-12
Aurora Foods,nps,9,2026-07-12
Borealis Bank,csat,3,2026-02-12
Borealis Bank,csat,1,2026-02-12
Borealis Bank,csat,1,2026-02-12
Borealis Bank,csat,3,2026-02-12
Borealis Bank,csat,2,2026-02-12
Borealis Bank,csat,4,2026-02-12
Borealis Bank,csat,1,2026-02-12
Borealis Bank,csat,2,2026-02-12
Borealis Bank,csat,2,2026-03-12
Borealis Bank,csat,3,2026-03-12
Borealis Bank,csat,1,2026-03-12
Borealis Bank,csat,1,2026-03-12
Borealis Bank,csat,3,2026-03-12
Borealis Bank,csat,2,2026-03-12
Borealis Bank,csat,4,2026-03-12
Borealis Bank,csat,1,2026-04-12
Borealis Bank,csat,2,2026-04-12
Borealis Bank,csat,3,2026-04-12
Borealis Bank,csat,1,2026-04-12
Borealis Bank,csat,1,2026-04-12
Borealis Bank,csat,3,2026-04-12
Borealis Bank,csat,4,2026-05-12
Borealis Bank,csat,1,2026-05-12
Borealis Bank,csat,2,2026-05-12
Borealis Bank,csat,3,2026-05-12
Borealis Bank,csat,1,2026-05-12
Borealis Bank,csat,1,2026-05-12
Borealis Bank,csat,3,2026-05-12
Borealis Bank,csat,2,2026-05-12
Borealis Bank,csat,4,2026-05-12
Borealis Bank,csat,2,2026-06-12
Borealis Bank,csat,4,2026-06-12
Borealis Bank,csat,1,2026-06-12
Borealis Bank,csat,2,2026-06-12
Borealis Bank,csat,3,2026-06-12
Borealis Bank,csat,1,2026-06-12
Borealis Bank,csat,1,2026-06-12
Borealis Bank,csat,3,2026-06-12
Borealis Bank,csat,3,2026-07-12
Borealis Bank,csat,2,2026-07-12
Borealis Bank,csat,4,2026-07-12
Borealis Bank,csat,1,2026-07-12
Borealis Bank,csat,2,2026-07-12
Borealis Bank,csat,3,2026-07-12
Borealis Bank,csat,1,2026-07-12
Borealis Bank,nps,6,2026-04-12
Borealis Bank,nps,2,2026-04-12
Borealis Bank,nps,5,2026-04-12
Borealis Bank,nps,4,2026-04-12
Borealis Bank,nps,0,2026-04-12
Borealis Bank,nps,3,2026-07-12
Borealis Bank,nps,6,2026-07-12
Borealis Bank,nps,2,2026-07-12
Borealis Bank,nps,5,2026-07-12
Borealis Bank,nps,4,2026-07-12
Cirrus Tech,csat,5,2026-02-12
Cirrus Tech,csat,3,2026-02-12
Cirrus Tech,csat,4,2026-02-12
Cirrus Tech,csat,2,2026-02-12
Cirrus Tech,csat,5,2026-02-12
Cirrus Tech,csat,3,2026-02-12
Cirrus Tech,csat,1,2026-02-12
Cirrus Tech,csat,4,2026-02-12
Cirrus Tech,csat,5,2026-02-12
Cirrus Tech,csat,4,2026-03-12
Cirrus Tech,csat,5,2026-03-12
Cirrus Tech,csat,3,2026-03-12
Cirrus Tech,csat,4,2026-03-12
Cirrus Tech,csat,2,2026-03-12
Cirrus Tech,csat,5,2026-03-12
Cirrus Tech,csat,3,2026-03-12
Cirrus Tech,csat,1,2026-03-12
Cirrus Tech,csat,1,2026-04-12
Cirrus Tech,csat,4,2026-04-12
Cirrus Tech,csat,5,2026-04-12
Cirrus Tech,csat,3,2026-04-12
Cirrus Tech,csat,4,2026-04-12
Cirrus Tech,csat,2,2026-04-12
Cirrus Tech,csat,5,2026-04-12
Cirrus Tech,csat,3,2026-05-12
Cirrus Tech,csat,1,2026-05-12
Cirrus Tech,csat,4,2026-05-12
Cirrus Tech,csat,5,2026-05-12
Cirrus Tech,csat,3,2026-05-12
Cirrus Tech,csat,4,2026-05-12
Cirrus Tech,csat,5,2026-06-12
Cirrus Tech,csat,3,2026-06-12
Cirrus Tech,csat,1,2026-06-12
Cirrus Tech,csat,4,2026-06-12
Cirrus Tech,csat,5,2026-06-12
Cirrus Tech,csat,3,2026-06-12
Cirrus Tech,csat,4,2026-06-12
Cirrus Tech,csat,2,2026-06-12
Cirrus Tech,csat,5,2026-06-12
Cirrus Tech,csat,2,2026-07-12
Cirrus Tech,csat,5,2026-07-12
Cirrus Tech,csat,3,2026-07-12
Cirrus Tech,csat,1,2026-07-12
Cirrus Tech,csat,4,2026-07-12
Cirrus Tech,csat,5,2026-07-12
Cirrus Tech,csat,3,2026-07-12
Cirrus Tech,csat,4,2026-07-12
Cirrus Tech,nps,8,2026-04-12
Cirrus Tech,nps,10,2026-04-12
Cirrus Tech,nps,3,2026-04-12
Cirrus Tech,nps,9,2026-04-12
Cirrus Tech,nps,7,2026-04-12
Cirrus Tech,nps,6,2026-07-12
Cirrus Tech,nps,8,2026-07-12
Cirrus Tech,nps,10,2026-07-12
Cirrus Tech,nps,3,2026-07-12
Cirrus Tech,nps,9,2026-07-12
Delta Retail,csat,5,2026-02-12
Delta Retail,csat,4,2026-02-12
Delta Retail,csat,5,2026-02-12
Delta Retail,csat,4,2026-02-12
Delta Retail,csat,5,2026-02-12
Delta Retail,csat,3,2026-02-12
Delta Retail,csat,4,2026-03-12
Delta Retail,csat,5,2026-03-12
Delta Retail,csat,4,2026-03-12
Delta Retail,csat,5,2026-03-12
Delta Retail,csat,4,2026-03-12
Delta Retail,csat,5,2026-03-12
Delta Retail,csat,3,2026-03-12
Delta Retail,csat,5,2026-03-12
Delta Retail,csat,4,2026-03-12
Delta Retail,csat,5,2026-04-12
Delta Retail,csat,4,2026-04-12
Delta Retail,csat,5,2026-04-12
Delta Retail,csat,4,2026-04-12
Delta Retail,csat,5,2026-04-12
Delta Retail,csat,4,2026-04-12
Delta Retail,csat,5,2026-04-12
Delta Retail,csat,3,2026-04-12
Delta Retail,csat,3,2026-05-12
Delta Retail,csat,5,2026-05-12
Delta Retail,csat,4,2026-05-12
Delta Retail,csat,5,2026-05-12
Delta Retail,csat,4,2026-05-12
Delta Retail,csat,5,2026-05-12
Delta Retail,csat,4,2026-05-12
Delta Retail,csat,5,2026-06-12
Delta Retail,csat,3,2026-06-12
Delta Retail,csat,5,2026-06-12
Delta Retail,csat,4,2026-06-12
Delta Retail,csat,5,2026-06-12
Delta Retail,csat,4,2026-06-12
Delta Retail,csat,4,2026-07-12
Delta Retail,csat,5,2026-07-12
Delta Retail,csat,3,2026-07-12
Delta Retail,csat,5,2026-07-12
Delta Retail,csat,4,2026-07-12
Delta Retail,csat,5,2026-07-12
Delta Retail,csat,4,2026-07-12
Delta Retail,csat,5,2026-07-12
Delta Retail,csat,4,2026-07-12
Delta Retail,nps,9,2026-04-12
Delta Retail,nps,7,2026-04-12
Delta Retail,nps,10,2026-04-12
Delta Retail,nps,9,2026-04-12
Delta Retail,nps,8,2026-04-12
Delta Retail,nps,10,2026-07-12
Delta Retail,nps,9,2026-07-12
Delta Retail,nps,7,2026-07-12
Delta Retail,nps,10,2026-07-12
Delta Retail,nps,9,2026-07-12
